period_type,fiscal_year_be,period_order,period_label,indicator_no,indicator_name,target_text,target_type,target_value,numerator,denominator,actual_percent,status,gap_from_target
ไตรมาส,2567,3,ไตรมาส 3,11,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Microalbuminuria ประจำปี,> 80%,>,80,5,765,0.65,ไม่ผ่าน,-79.35
ไตรมาส,2567,3,ไตรมาส 3,12,อัตราผู้ป่วย DM มี Microalbuminuria ที่ได้รักษาด้วยยา ACEI หรือ ARB,>= 60%,>=,60,0,2,0,ไม่ผ่าน,-60
ไตรมาส,2567,3,ไตรมาส 3,13,อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี,> 70%,>,70,78,765,10.2,ไม่ผ่าน,-59.8
ไตรมาส,2567,3,ไตรมาส 3,14,อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี,> 40%,>,40,0,765,0,ไม่ผ่าน,-40
ไตรมาส,2567,3,ไตรมาส 3,15,อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี,> 80%,>,80,7,765,0.92,ไม่ผ่าน,-79.08
ไตรมาส,2567,3,ไตรมาส 3,16,อัตราผู้ป่วยเบาหวานที่มี Diabetic retinopathy,< 15%,<,15,77,765,10.07,ผ่าน,4.93
ไตรมาส,2567,3,ไตรมาส 3,17,อัตราผู้ป่วยเบาหวานที่มี Diabetic nephropathy,< 30%,<,30,30,765,3.92,ผ่าน,26.08
ไตรมาส,2567,3,ไตรมาส 3,18,อัตราผู้ป่วยเบาหวานที่มีแผลที่เท้า,< 5%,<,5,10,765,1.31,ผ่าน,3.69
ไตรมาส,2567,4,ไตรมาส 4,1,อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c,>= 70%,>=,70,253,781,32.39,ไม่ผ่าน,-37.61
ไตรมาส,2567,4,ไตรมาส 4,2,อัตราผู้ป่วยเบาหวานชนิดที่ 2 ที่มีระดับ HbA1c < 7%,> 40%,>,40,55,728,7.55,ไม่ผ่าน,-32.45
ไตรมาส,2567,4,ไตรมาส 4,3,อัตราผู้ป่วยเบาหวานชนิดที่ 1 ที่มีระดับ HbA1c < 7%,> 40%,>,40,2,40,5,ไม่ผ่าน,-35
ไตรมาส,2567,4,ไตรมาส 4,4,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลันจาก DM,< 4%,<,4,0,781,0,ผ่าน,4
ไตรมาส,2567,4,ไตรมาส 4,5,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hypoglycemia,< 4%,<,4,0,781,0,ผ่าน,4
ไตรมาส,2567,4,ไตรมาส 4,6,"อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hyperglycemia, DKA",< 4%,<,4,0,781,0,ผ่าน,4
ไตรมาส,2567,4,ไตรมาส 4,7,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Lipid profile,> 70%,>,70,106,781,13.57,ไม่ผ่าน,-56.43
ไตรมาส,2567,4,ไตรมาส 4,8,อัตราผู้ป่วย DM ที่มีระดับ LDL < 100 mg/dL,> 60%,>,60,70,781,8.96,ไม่ผ่าน,-51.04
ไตรมาส,2567,4,ไตรมาส 4,9,อัตราของระดับความดันโลหิตในผู้ป่วย DM <= 130/80 mmHg,>= 60%,>=,60,299,781,38.28,ไม่ผ่าน,-21.72
ไตรมาส,2567,4,ไตรมาส 4,10,อัตราผู้ป่วย DM อายุ 40 ปีขึ้นไปที่ได้รับยา Aspirin,> 70%,>,70,256,687,37.26,ไม่ผ่าน,-32.74
ไตรมาส,2567,4,ไตรมาส 4,11,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Microalbuminuria ประจำปี,> 80%,>,80,4,781,0.51,ไม่ผ่าน,-79.49
ไตรมาส,2567,4,ไตรมาส 4,12,อัตราผู้ป่วย DM มี Microalbuminuria ที่ได้รักษาด้วยยา ACEI หรือ ARB,>= 60%,>=,60,1,3,33.33,ไม่ผ่าน,-26.67
ไตรมาส,2567,4,ไตรมาส 4,13,อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี,> 70%,>,70,89,781,11.4,ไม่ผ่าน,-58.6
ไตรมาส,2567,4,ไตรมาส 4,14,อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี,> 40%,>,40,0,781,0,ไม่ผ่าน,-40
ไตรมาส,2567,4,ไตรมาส 4,15,อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี,> 80%,>,80,8,781,1.02,ไม่ผ่าน,-78.98
ไตรมาส,2567,4,ไตรมาส 4,16,อัตราผู้ป่วยเบาหวานที่มี Diabetic retinopathy,< 15%,<,15,69,781,8.83,ผ่าน,6.17
ไตรมาส,2567,4,ไตรมาส 4,17,อัตราผู้ป่วยเบาหวานที่มี Diabetic nephropathy,< 30%,<,30,36,781,4.61,ผ่าน,25.39
