"period_type","fiscal_year_be","period_order","period_label","indicator_no","indicator_name","target_text","target_type","target_value","numerator","denominator","actual_percent","status","gap_from_target"
"เดือน","2567","1","ตุลาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","15","374","4.01","ไม่ผ่าน","-75.99"
"เดือน","2567","2","พฤศจิกายน","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","189","293","64.51","ไม่ผ่าน","-5.49"
"เดือน","2567","2","พฤศจิกายน","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","40","189","21.16","ไม่ผ่าน","-18.84"
"เดือน","2567","2","พฤศจิกายน","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","41","293","13.99","ไม่ผ่าน","-56.01"
"เดือน","2567","2","พฤศจิกายน","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","14","293","4.78","ไม่ผ่าน","-35.22"
"เดือน","2567","2","พฤศจิกายน","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","12","293","4.1","ไม่ผ่าน","-75.9"
"เดือน","2567","3","ธันวาคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","222","282","78.72","ผ่าน","8.72"
"เดือน","2567","3","ธันวาคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","60","222","27.03","ไม่ผ่าน","-12.97"
"เดือน","2567","3","ธันวาคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","36","282","12.77","ไม่ผ่าน","-57.23"
"เดือน","2567","3","ธันวาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","9","282","3.19","ไม่ผ่าน","-36.81"
"เดือน","2567","3","ธันวาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","4","282","1.42","ไม่ผ่าน","-78.58"
"เดือน","2567","4","มกราคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","269","340","79.12","ผ่าน","9.12"
"เดือน","2567","4","มกราคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","66","269","24.54","ไม่ผ่าน","-15.46"
